"unix_time","time_utc","time_local","label","frontend_cpu","frontend_memory","productcatalogservice_cpu","productcatalogservice_memory","cartservice_cpu","cartservice_memory","checkoutservice_cpu","checkoutservice_memory","redis_cart_cpu","redis_cart_memory","paymentservice_cpu","paymentservice_memory","currencyservice_cpu","currencyservice_memory","shippingservice_cpu","shippingservice_memory"
"1781212324","2026-06-11 21:12:04","2026-06-12 05:12:04","0","0.0244334704749219","23523328","0.0110219381360646","12845056","0.0114947427830853","63987712","0.00333309193149869","12898304","0.0048837705861602","7213056","0.00432934543128572","58421248","0.0166252968277484","73871360","0.00239442009752482","10764288"
"1781212339","2026-06-11 21:12:19","2026-06-12 05:12:19","0","0.0258891522718743","23261184","0.0125106334324261","12746752","0.0130857119035051","64266240","0.00289978119951736","12898304","0.00491940771500384","7213056","0.00445118793160147","58679296","0.0169783819924227","73502720","0.00275298910636789","10764288"
"1781212354","2026-06-11 21:12:34","2026-06-12 05:12:34","0","0.0261275231088475","23142400","0.0104352682199863","12836864","0.0135296766743649","64008192","0.00276318458417849","12898304","0.00354587213322087","7213056","0.00215196479511733","58880000","0.0167332427719884","73367552","0.00207271887077801","10768384"
"1781212369","2026-06-11 21:12:49","2026-06-12 05:12:49","0","0.0204755955370057","23142400","0.0125483058906894","12685312","0.0143396457326891","64008192","0.00326971808380062","12910592","0.00533341950494406","7475200","0.0023937262026711","59236352","0.0113468906126701","73367552","0.00266931284135655","10768384"
"1781212384","2026-06-11 21:13:04","2026-06-12 05:13:04","0","0.0245059794092522","23429120","0.0122892510882471","13512704","0.0143856136704765","63979520","0.00334242633050952","12910592","0.00341410747377622","7213056","0.00180369641927458","59236352","0.0162037257348458","73691136","0.00237564912584386","10768384"
"1781212399","2026-06-11 21:13:19","2026-06-12 05:13:19","0","0.0232680066585502","23371776","0.0114045116965949","12800000","0.0158951008147305","64282624","0.00356466554818003","12910592","0.0038862","7213056","0.001943728347259","58675200","0.015402693689071","74043392","0.00234874351270144","11096064"
"1781212414","2026-06-11 21:13:34","2026-06-12 05:13:34","0","0.0187089480180539","23236608","0.0112908093566763","12652544","0.0148789985821664","63979520","0.00339937914008463","12967936","0.00681925599378481","7475200","0.00162918115960977","58937344","0.0127248568619516","73797632","0.00192171508209575","11087872"
"1781212429","2026-06-11 21:13:49","2026-06-12 05:13:49","0","0.0226501065676426","23228416","0.00921310922720792","12652544","0.0145704183621069","64008192","0.0020749442184014","12967936","0.00751538289181125","7213056","0.00114440323463246","59199488","0.0146495129137009","74211328","0.00175060610219107","11087872"
"1781212444","2026-06-11 21:14:04","2026-06-12 05:14:04","0","0.024401801314585","23580672","0.0109673726080413","12369920","0.0134281011116873","64049152","0.00204601689800849","12967936","0.00855141139305002","7213056","0.00177910158476801","59465728","0.0167170258490831","74317824","0.00220478579175703","11505664"
"1781212459","2026-06-11 21:14:19","2026-06-12 05:14:19","0","0.0256921447484553","23715840","0.00948017888692556","12492800","0.0158440045750568","64286720","0.00147352139987994","13168640","0.00638017282176219","7475200","0.00186327416838822","59637760","0.038545333507945","75177984","0.00194663961111354","10719232"
"1781212474","2026-06-11 21:14:34","2026-06-12 05:14:34","0","0.0274622812888426","23330816","0.00857194182622955","12976128","0.0188745459058191","64049152","0.0018596768036646","13176832","0.00429135808027374","7213056","0.00192569883837097","59265024","0.0322924176675012","74190848","0.00208669394890545","10715136"
"1781212489","2026-06-11 21:14:49","2026-06-12 05:14:49","0","0.0229824475345508","23355392","0.0105073350733507","12791808","0.0179336705778635","64053248","0.00190574797177723","13176832","0.00375864050556739","7475200","0.00107359907328881","59420672","0.0395316480611874","74190848","0.00161775104010005","10760192"
"1781212504","2026-06-11 21:15:04","2026-06-12 05:15:04","0","0.0247939428981587","23556096","0.0110360719415727","13299712","0.0159816595596552","64303104","0.00205414694502817","13713408","0.0044270290534208","7475200","0.00113183850745627","59629568","0.0134065965859773","74579968","0.00219236115707952","10756096"
"1781212519","2026-06-11 21:15:19","2026-06-12 05:15:19","0","0.0192368990183251","23556096","0.011849581855764","13246464","0.0109624479805093","64303104","0.00297349218168278","12996608","0.00474243236003221","7475200","0.000590631345176188","59629568","0.0154874260141475","74723328","0.00191511490939997","10756096"
"1781212534","2026-06-11 21:15:34","2026-06-12 05:15:34","0","0.0263447593053439","23588864","0.0120769977942815","12967936","0.0164350977978391","64258048","0.00360914239482201","12996608","0.00477466859801587","7475200","0.00151260846411673","59953152","0.0138576390042364","74289152","0.00370611794386629","10747904"
"1781212549","2026-06-11 21:15:49","2026-06-12 05:15:49","0","0.025900002651745","23732224","0.0129248536523288","12967936","0.0168837698131823","64024576","0.00384672421425412","12996608","0.00492177937328354","7475200","0.00125096692258851","60108800","0.0181073165278634","74706944","0.00519377431906618","10752000"
"1781212564","2026-06-11 21:16:04","2026-06-12 05:16:04","0","0.0256561327377145","23293952","0.0113127105666157","13295616","0.0170435085762099","63950848","0.0048549978010932","13332480","0.00517093509514266","7475200","0.00190933131847379","59621376","0.0189461145774249","74821632","0.00396051579900891","10747904"
"1781212579","2026-06-11 21:16:19","2026-06-12 05:16:19","0","0.0238055596987099","23453696","0.010654540527018","12660736","0.0153229551635171","64233472","0.00477702964145484","13340672","0.00485289532293999","7475200","0.00194797711154097","60243968","0.0171523766693386","74575872","0.00342454559340155","10747904"
"1781212594","2026-06-11 21:16:34","2026-06-12 05:16:34","0","0.0211695801880548","23490560","0.00972841768286272","12939264","0.0145848450633545","63905792","0.00462538258274243","13340672","0.00492647344454747","7737344","0.00208924859744323","60321792","0.0153630410477552","74575872","0.00195844843897819","10821632"
"1781212609","2026-06-11 21:16:49","2026-06-12 05:16:49","0","0.026747091418858","23883776","0.00955127522064436","13430784","0.0102904105267899","63905792","0.00316604637277343","13164544","0.00479101482424523","7213056","0.00150469886930137","60526592","0.0146350258599458","74960896","0.00177843066545044","10821632"
"1781212624","2026-06-11 21:17:04","2026-06-12 05:17:04","0","0.0287806387419301","24215552","0.00997443278022348","12505088","0.00987902220004982","63905792","0.00207732639924973","13164544","0.00564177887527373","7475200","0.000937492415460392","60526592","0.0150182111000997","74838016","0.00177612109401557","10825728"
"1781212639","2026-06-11 21:17:19","2026-06-12 05:17:19","0","0.0286007159271698","24141824","0.0101595334764282","12959744","0.0117053742802304","63918080","0.00189798669391656","13176832","0.00565442905366078","7737344","0.00125851637869951","60825600","0.0120324870652598","75128832","0.00145280688876394","10821632"
"1781212654","2026-06-11 21:17:34","2026-06-12 05:17:34","0","0.0170377356554187","24141824","0.0109088940746266","12730368","0.0139884949249074","63938560","0.00199140171201468","12881920","0.00569317988788862","7475200","0.00190633455508439","60477440","0.0114551965611567","75128832","0.00207311586051748","10579968"
"1781212669","2026-06-11 21:17:49","2026-06-12 05:17:49","0","0.0242033211449334","23130112","0.0121540426453078","12943360","0.0143777599265551","63938560","0.001952833291416","12881920","0.00520713777325868","7475200","0.00172123672584178","60657664","0.0154800623564161","75743232","0.00202081874169786","10579968"
"1781212684","2026-06-11 21:18:04","2026-06-12 05:18:04","0","0.0222119208307772","23273472","0.0111673495322187","12947456","0.012697634499624","63971328","0.00170938710759943","12881920","0.00554730192719487","7729152","0.00224723565087457","60932096","0.0141026237063391","74981376","0.00144045100294725","10579968"
"1781212699","2026-06-11 21:18:19","2026-06-12 05:18:19","0","0.0264312485221096","23134208","0.0112737067158548","12918784","0.00748917452004936","63971328","0.000748143658129961","12881920","0.00526011358875288","7213056","0.00139700554528651","61100032","0.0130121093945873","75046912","0.00156447722749087","10579968"
"1781212714","2026-06-11 21:18:34","2026-06-12 05:18:34","0","0.0250207533486901","23162880","0.00977545270808239","13467648","0.0134945449707292","63991808","0.0011758941803623","13012992","0.00592841356141978","7213056","0.00206438443643662","61358080","0.015079131781802","75304960","0.0016377671191812","10813440"
"1781212729","2026-06-11 21:18:49","2026-06-12 05:18:49","0","0.026294258612082","23470080","0.0105345684976273","13467648","0.0152793869391378","63991808","0.00127213250254323","13012992","0.006645879977172","7213056","0.00167690900165126","61599744","0.0107724054139519","75751424","0.00156316537053399","10813440"
"1781212744","2026-06-11 21:19:04","2026-06-12 05:19:04","0","0.0232553716026618","23470080","0.00990575528546604","12922880","0.0152968380780921","63991808","0.00149734856650143","13012992","0.00677513136458538","7475200","0.00173391190437203","60940288","0.0118801225939776","75517952","0.00206983362521895","10973184"
"1781212759","2026-06-11 21:19:19","2026-06-12 05:19:19","0","0.023089698997913","24489984","0.0098811671484103","12984320","0.012944864543019","63963136","0.00143907944828113","13012992","0.0057964338433423","7213056","0.00149051066327529","61079552","0.0111323807627199","75456512","0.00206947971845293","10973184"
"1781212774","2026-06-11 21:19:34","2026-06-12 05:19:34","0","0.0210449333746517","23216128","0.00909253193739666","12668928","0.0103023100674725","64200704","0.0031212322630985","13017088","0.00467404849135414","7475200","0.00148542985232065","61333504","0.0128553058387395","75816960","0.00255753692827899","10727424"
